"subject","predicate","object"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/CountySeatsInVirginia"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Place"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/GeographicalArea108574314"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Tract108673395"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Location100027167"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Site108651247"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoLegalActorGeo"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Center108523483"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/CountySeat108547143"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/PhysicalEntity100001930"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Region108630985"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Town"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/AdministrativeDistrict108491826"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/PopulatedPlacesInRappahannockCounty,Virginia"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/TownsInVirginia"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoGeoEntity"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Area108497294"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/UrbanArea108675967"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Object100002684"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/District108552138"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Town108665504"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Municipality108626283"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Seat108647945"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.opengis.net/gml/_Feature"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Washington_(Virginia)"
"http://dbpedia.org/resource/Washington,_Virginia","http://www.w3.org/2002/07/owl#sameAs","http://uz.dbpedia.org/resource/Washington_(Virginia)"
